first_name,last_name,date_of_birth,images_path
Bill,Gates,"October 28, 1955",src\Data\Images\Bill_Gates
Steve,Jobs,"February 24, 1955",src\Data\Images\Steve_Jobs
Katy,Perry,"October 25, 1984",src\Data\Images\Katy_Perry
Marilyn,Monroe,"June 1, 1926",src\Data\Images\Marilyn_Monroe
Nelson,Mandela,"July 18, 1918",src\Data\Images\Nelson_Mandela
Michael,Jordan,"February 17, 1963",src\Data\Images\Michael_Jordan
Johnny,Depp,"June 9, 1963",src\Data\Images\Johnny_Depp
Anne,Hathaway,"November 12, 1982",src\Data\Images\Anne_Hathaway
Usain,Bolt,"August 21, 1986",src\Data\Images\Usain_Bolt
Connor,McDavid,"January 13, 1997",src\Data\Images\Connor_McDavid
Samuel,Jackson,"December 21, 1948",src\Data\Images\Samuel_Jackson
Jim,Carrey,"January 17, 1962",src\Data\Images\Jim_Carrey
Kevin,Fowler,"July 26, 1959",src\Data\Images\Kevin_Fowler
